MIP_ID	Subspecies	Subspecies_MIP_paralog
0041	lantzi	no data
0041	montandoni	no data
0041	vulgaris	no data
0042	ampelensis	no data
0042	graecus	no data
0042	hybF1	no data
0042	hybF2	no data
0042	lantzi	no data
0042	montandoni	no data
0042	vulgaris	no data
0043	ampelensis	no data
0043	graecus	no data
0043	hybF1	no data
0043	hybF2	no data
0043	lantzi	no data
0043	montandoni	no data
0043	vulgaris	no data
0044	ampelensis	no data
0044	graecus	no data
0044	hybF1	no data
0044	hybF2	no data
0044	lantzi	no data
0044	montandoni	no data
0044	vulgaris	no data
0045	ampelensis	no data
0045	graecus	no data
0045	hybF1	no data
0045	hybF2	no data
0045	lantzi	no data
0045	montandoni	no data
0045	vulgaris	no data
0046	ampelensis	no data
0046	graecus	no data
0046	hybF1	no data
0046	hybF2	no data
0046	lantzi	no data
0046	montandoni	no data
0046	vulgaris	no data
0047	ampelensis	no data
0047	graecus	no data
0047	hybF1	no data
0047	hybF2	no data
0047	lantzi	no data
0047	montandoni	no data
0047	vulgaris	no data
0048	ampelensis	no data
0048	graecus	no data
0048	hybF1	no data
0048	hybF2	no data
0048	lantzi	no data
0048	montandoni	no data
0048	vulgaris	no data
0049	ampelensis	no data
0049	graecus	no data
0049	hybF1	no data
0049	hybF2	no data
0049	lantzi	no data
0049	montandoni	no data
0049	vulgaris	no data
0050	ampelensis	no data
0050	graecus	no data
0050	hybF1	no data
0050	hybF2	no data
0050	lantzi	no data
0050	montandoni	no data
0050	vulgaris	no data
0051	ampelensis	no data
0051	graecus	no data
0051	hybF1	no data
0051	hybF2	no data
0051	lantzi	no data
0051	montandoni	no data
0051	vulgaris	no data
0052	ampelensis	no data
0052	graecus	no data
0052	hybF1	no data
0052	hybF2	no data
0052	lantzi	no data
0052	montandoni	no data
0052	vulgaris	no data
0053	ampelensis	no data
0053	graecus	no data
0053	hybF1	no data
0053	hybF2	no data
0053	lantzi	no data
0053	montandoni	no data
0053	vulgaris	no data
0054	ampelensis	no data
0054	graecus	no data
0054	hybF1	no data
0054	hybF2	no data
0054	lantzi	no data
0054	montandoni	no data
0054	vulgaris	no data
0055	ampelensis	no data
0055	graecus	no data
0055	hybF1	no data
0055	hybF2	no data
0055	lantzi	no data
0055	montandoni	no data
0055	vulgaris	no data
0056	ampelensis	no data
0056	graecus	no data
0056	hybF1	no data
0056	hybF2	no data
0056	lantzi	no data
0056	montandoni	no data
0056	vulgaris	no data
0057	graecus	paralog
